sequence_id,frame_id,person_id,lean_flag,look_flag,phone_flag,lean_angle,head_turn_angle,confidence,behavior,label,timestamp
4,16,person_004,1,1,1,8.39,25.2,0.995,cheating,cheating,0.528
4,17,person_004,1,1,1,19.44,20.02,0.99,cheating,cheating,0.561
4,18,person_004,0,1,1,30.64,27.5,1.0,cheating,cheating,0.5940000000000001
4,19,person_004,1,1,1,23.09,50.84,0.978,cheating,cheating,0.627
4,20,person_004,1,1,1,9.79,45.42,0.975,cheating,cheating,0.66
4,21,person_004,1,1,0,8.23,33.37,0.989,cheating,cheating,0.6930000000000001
4,22,person_004,1,1,1,20.4,41.69,0.986,cheating,cheating,0.726
4,23,person_004,1,1,0,15.38,37.71,0.979,cheating,cheating,0.759
4,24,person_004,1,1,1,21.6,36.04,0.993,cheating,cheating,0.792
4,25,person_004,1,1,1,25.35,17.79,0.965,cheating,cheating,0.8250000000000001
4,26,person_004,1,1,1,18.65,14.51,0.969,cheating,cheating,0.8580000000000001
4,27,person_004,1,1,1,22.14,10.62,0.989,cheating,cheating,0.891
4,28,person_004,0,1,1,20.48,33.45,0.998,cheating,cheating,0.924
4,29,person_004,1,1,1,20.78,49.14,0.987,cheating,cheating,0.9570000000000001
5,0,person_005,0,0,0,0.04,1.74,0.989,normal,normal,0.0
5,1,person_005,1,0,0,-1.08,1.21,0.98,normal,normal,0.033
5,2,person_005,0,0,0,1.12,2.02,0.995,normal,normal,0.066
5,3,person_005,0,0,0,1.71,-5.84,0.974,normal,normal,0.099
5,4,person_005,0,1,0,1.24,-4.29,0.996,normal,normal,0.132
5,5,person_005,0,0,0,-0.69,-4.52,0.973,normal,normal,0.165
5,6,person_005,0,0,0,-1.54,7.86,0.99,normal,normal,0.198
5,7,person_005,0,0,0,-0.2,0.34,0.998,normal,normal,0.231
5,8,person_005,0,0,0,1.55,-2.36,0.999,normal,normal,0.264
5,9,person_005,0,0,0,2.94,1.77,0.989,normal,normal,0.29700000000000004
5,10,person_005,0,0,0,1.75,-4.96,0.985,normal,normal,0.33
5,11,person_005,0,0,0,0.18,-1.75,0.988,normal,normal,0.363
5,12,person_005,0,0,0,0.59,1.61,0.989,normal,normal,0.396
5,13,person_005,0,0,0,1.69,0.24,0.967,normal,normal,0.42900000000000005
5,14,person_005,0,0,0,1.11,0.8,0.995,normal,normal,0.462
5,15,person_005,0,1,0,-1.45,-3.54,0.979,normal,normal,0.495
5,16,person_005,0,0,0,-0.49,1.32,0.999,normal,normal,0.528
5,17,person_005,0,0,0,-0.11,0.73,0.991,normal,normal,0.561
5,18,person_005,0,0,0,0.28,-1.46,0.975,normal,normal,0.5940000000000001
5,19,person_005,0,0,0,-1.17,4.63,0.996,normal,normal,0.627
5,20,person_005,0,0,0,0.02,4.5,0.998,normal,normal,0.66
5,21,person_005,0,0,0,1.5,-0.46,0.972,normal,normal,0.6930000000000001
5,22,person_005,0,0,0,-0.17,4.95,0.968,normal,normal,0.726
5,23,person_005,0,0,0,-0.78,-3.22,0.982,normal,normal,0.759
5,24,person_005,0,0,0,-0.28,-0.15,0.969,normal,normal,0.792
5,25,person_005,0,0,0,-1.48,3.4,0.996,normal,normal,0.8250000000000001
5,26,person_005,0,0,0,-2.02,2.36,0.997,normal,normal,0.8580000000000001
5,27,person_005,0,0,0,0.08,-1.52,0.989,normal,normal,0.891
5,28,person_005,0,0,0,-0.87,3.71,0.972,normal,normal,0.924
5,29,person_005,0,0,0,-1.06,-0.82,0.987,normal,normal,0.9570000000000001
6,0,person_006,0,0,0,-1.68,0.82,0.993,normal,normal,0.0
6,1,person_006,0,0,0,0.31,2.15,0.978,normal,normal,0.033
6,2,person_006,0,1,0,-2.35,-3.76,0.982,normal,normal,0.066
6,3,person_006,0,1,0,-2.04,1.3,0.979,normal,normal,0.099
6,4,person_006,0,0,0,-5.49,-2.66,0.976,normal,normal,0.132
6,5,person_006,0,0,0,-1.17,-6.54,0.991,normal,normal,0.165
6,6,person_006,0,0,0,0.96,-0.49,0.992,normal,normal,0.198
6,7,person_006,0,0,0,1.29,3.38,0.969,normal,normal,0.231
6,8,person_006,0,0,0,-0.13,-1.9,0.986,normal,normal,0.264
6,9,person_006,0,0,0,0.65,-1.36,1.0,normal,normal,0.29700000000000004
6,10,person_006,0,0,0,0.23,-0.09,0.985,normal,normal,0.33
6,11,person_006,0,0,0,-1.82,0.91,0.992,normal,normal,0.363
6,12,person_006,0,0,0,1.15,-4.77,0.996,normal,normal,0.396
6,13,person_006,0,0,0,0.92,-2.7,0.997,normal,normal,0.42900000000000005
6,14,person_006,0,0,0,-0.4,-0.36,0.993,normal,normal,0.462
6,15,person_006,1,1,0,-0.86,-0.57,0.959,normal,normal,0.495
6,16,person_006,0,0,0,-2.64,-1.59,0.975,normal,normal,0.528
6,17,person_006,0,0,0,-1.04,3.45,0.974,normal,normal,0.561
6,18,person_006,0,0,0,-0.62,-2.98,0.998,normal,normal,0.5940000000000001
6,19,person_006,0,0,0,0.7,2.25,0.996,normal,normal,0.627
6,20,person_006,0,0,0,0.31,-0.13,0.981,normal,normal,0.66
6,21,person_006,0,0,0,-0.39,0.9,0.995,normal,normal,0.6930000000000001
6,22,person_006,0,0,0,0.53,2.4,0.981,normal,normal,0.726
6,23,person_006,1,0,0,0.61,5.09,0.99,normal,normal,0.759
6,24,person_006,0,0,0,0.71,-1.12,0.973,normal,normal,0.792
6,25,person_006,0,1,0,-0.23,-5.91,0.989,normal,normal,0.8250000000000001
6,26,person_006,0,0,0,-0.46,-1.86,0.997,normal,normal,0.8580000000000001
6,27,person_006,0,0,0,-1.1,3.02,0.978,normal,normal,0.891
6,28,person_006,0,0,0,-0.36,-1.09,0.995,normal,normal,0.924
6,29,person_006,0,0,0,-0.67,8.08,1.0,normal,normal,0.9570000000000001
7,0,person_007,0,1,0,5.63,4.58,0.995,looking_around,looking_around,0.0
7,1,person_007,1,1,0,3.76,11.86,0.994,looking_around,looking_around,0.033
7,2,person_007,0,1,0,3.43,25.07,0.972,looking_around,looking_around,0.066
7,3,person_007,1,0,0,6.47,25.44,0.987,looking_around,looking_around,0.099
7,4,person_007,0,1,0,7.32,29.58,0.979,looking_around,looking_around,0.132
7,5,person_007,1,1,0,4.57,35.6,0.996,looking_around,looking_around,0.165
7,6,person_007,0,1,0,8.52,29.57,0.987,looking_around,looking_around,0.198
7,7,person_007,0,1,0,5.04,30.03,0.989,looking_around,looking_around,0.231
7,8,person_007,0,1,0,8.64,29.56,0.999,looking_around,looking_around,0.264
7,9,person_007,1,1,0,6.34,24.57,0.967,looking_around,looking_around,0.29700000000000004
7,10,person_007,0,1,0,4.39,35.89,0.975,looking_around,looking_around,0.33
7,11,person_007,0,1,0,1.74,29.84,0.979,looking_around,looking_around,0.363
7,12,person_007,0,1,0,6.29,26.18,0.997,looking_around,looking_around,0.396
7,13,person_007,0,1,0,7.24,35.69,0.972,looking_around,looking_around,0.42900000000000005
7,14,person_007,0,1,0,6.71,30.03,0.989,looking_around,looking_around,0.462
7,15,person_007,0,1,0,4.1,26.33,0.977,looking_around,looking_around,0.495
7,16,person_007,0,1,0,6.35,5.46,0.977,looking_around,looking_around,0.528
7,17,person_007,1,1,0,1.75,10.08,0.977,looking_around,looking_around,0.561
7,18,person_007,0,1,0,3.93,23.86,0.998,looking_around,looking_around,0.5940000000000001
7,19,person_007,0,1,0,1.98,13.76,0.991,looking_around,looking_around,0.627
7,20,person_007,0,1,0,3.36,19.18,0.994,looking_around,looking_around,0.66
7,21,person_007,0,1,0,8.87,30.47,0.995,looking_around,looking_around,0.6930000000000001
7,22,person_007,0,1,0,6.01,26.38,0.985,looking_around,looking_around,0.726
7,23,person_007,1,1,0,5.41,30.54,0.998,looking_around,looking_around,0.759
7,24,person_007,0,1,0,7.05,29.09,0.98,looking_around,looking_around,0.792
7,25,person_007,0,1,0,-0.47,33.98,0.979,looking_around,looking_around,0.8250000000000001
7,26,person_007,0,1,0,2.05,41.09,0.996,looking_around,looking_around,0.8580000000000001
7,27,person_007,0,1,0,4.57,30.88,0.993,looking_around,looking_around,0.891
7,28,person_007,0,1,0,5.29,34.12,0.978,looking_around,looking_around,0.924
7,29,person_007,0,1,0,7.58,39.17,0.977,looking_around,looking_around,0.9570000000000001
8,0,person_008,0,0,0,2.01,-1.26,0.993,normal,normal,0.0
8,1,person_008,0,0,0,2.61,-6.27,0.981,normal,normal,0.033
8,2,person_008,0,0,0,1.79,0.34,0.974,normal,normal,0.066
8,3,person_008,0,0,0,0.17,-4.37,0.967,normal,normal,0.099
8,4,person_008,0,0,0,-2.12,-2.37,0.974,normal,normal,0.132
8,5,person_008,0,0,0,-1.48,3.1,0.969,normal,normal,0.165
8,6,person_008,0,0,0,-0.36,4.87,0.991,normal,normal,0.198
8,7,person_008,0,0,0,-0.14,6.52,0.964,normal,normal,0.231
8,8,person_008,0,0,0,0.91,3.97,0.995,normal,normal,0.264
8,9,person_008,0,1,0,0.82,0.53,0.989,normal,normal,0.29700000000000004
8,10,person_008,0,0,0,-0.97,-3.29,0.981,normal,normal,0.33
8,11,person_008,0,0,0,-1.16,4.31,0.985,normal,normal,0.363
8,12,person_008,0,0,0,-0.54,0.74,0.981,normal,normal,0.396
8,13,person_008,0,0,0,0.61,0.78,0.981,normal,normal,0.42900000000000005
8,14,person_008,0,0,0,2.14,-0.03,0.988,normal,normal,0.462
8,15,person_008,0,0,0,0.73,4.21,0.992,normal,normal,0.495
8,16,person_008,0,0,0,0.92,-3.27,0.977,normal,normal,0.528
8,17,person_008,0,0,0,-0.15,1.63,0.986,normal,normal,0.561
8,18,person_008,0,0,0,2.5,-2.41,0.995,normal,normal,0.5940000000000001
8,19,person_008,0,0,0,-0.34,1.11,0.985,normal,normal,0.627
8,20,person_008,0,0,0,1.61,6.01,0.969,normal,normal,0.66
8,21,person_008,0,0,0,0.86,2.9,1.0,normal,normal,0.6930000000000001
8,22,person_008,0,0,0,-1.75,-5.83,0.98,normal,normal,0.726
8,23,person_008,0,0,0,1.02,-0.69,0.989,normal,normal,0.759
8,24,person_008,0,0,0,-1.24,-2.7,0.988,normal,normal,0.792
8,25,person_008,0,1,0,-0.65,-2.99,0.986,normal,normal,0.8250000000000001
8,26,person_008,0,0,0,0.45,6.52,0.977,normal,normal,0.8580000000000001
8,27,person_008,0,0,0,-1.59,4.39,0.961,normal,normal,0.891
8,28,person_008,0,0,0,-0.34,-1.07,0.98,normal,normal,0.924
8,29,person_008,0,1,0,0.78,5.22,0.994,normal,normal,0.9570000000000001
9,0,person_009,0,0,0,-2.18,-1.58,0.976,normal,normal,0.0
9,1,person_009,0,0,0,-0.46,0.2,0.994,normal,normal,0.033
9,2,person_009,0,0,0,0.85,3.41,0.984,normal,normal,0.066
9,3,person_009,0,0,0,-1.61,-5.4,0.99,normal,normal,0.099
9,4,person_009,0,0,0,0.06,7.11,1.0,normal,normal,0.132
9,5,person_009,0,0,0,1.19,2.42,0.998,normal,normal,0.165
9,6,person_009,0,0,0,0.73,1.85,0.987,normal,normal,0.198
9,7,person_009,0,0,0,1.61,2.43,0.982,normal,normal,0.231
9,8,person_009,0,0,0,2.0,2.39,0.999,normal,normal,0.264
9,9,person_009,0,0,0,1.74,0.75,0.974,normal,normal,0.29700000000000004
9,10,person_009,0,0,0,-0.33,-0.43,0.999,normal,normal,0.33
9,11,person_009,0,0,0,0.64,0.1,0.96,normal,normal,0.363
9,12,person_009,0,0,0,-1.5,2.13,0.969,normal,normal,0.396
9,13,person_009,0,1,0,1.26,-0.11,0.97,normal,normal,0.42900000000000005
9,14,person_009,0,0,0,0.59,-1.21,0.988,normal,normal,0.462
9,15,person_009,0,1,0,-0.25,0.2,1.0,normal,normal,0.495
9,16,person_009,0,0,0,1.25,-5.14,0.949,normal,normal,0.528
9,17,person_009,0,0,0,1.68,-6.33,0.996,normal,normal,0.561
9,18,person_009,0,0,0,1.26,0.76,0.988,normal,normal,0.5940000000000001
9,19,person_009,1,0,0,-3.25,-1.68,0.992,normal,normal,0.627
9,20,person_009,0,0,0,-1.0,1.52,0.998,normal,normal,0.66
9,21,person_009,0,0,0,-1.66,0.36,0.981,normal,normal,0.6930000000000001
9,22,person_009,0,0,0,-0.74,6.1,0.973,normal,normal,0.726
9,23,person_009,0,0,0,-2.48,-0.51,0.979,normal,normal,0.759
9,24,person_009,0,0,0,0.21,-1.86,0.957,normal,normal,0.792
9,25,person_009,0,0,0,-0.79,4.0,0.969,normal,normal,0.8250000000000001
9,26,person_009,0,0,0,0.41,-1.17,0.96,normal,normal,0.8580000000000001
9,27,person_009,1,1,0,0.31,-1.63,0.996,normal,normal,0.891
9,28,person_009,0,1,0,-1.79,-3.89,0.976,normal,normal,0.924
9,29,person_009,0,0,0,-1.46,2.98,0.986,normal,normal,0.9570000000000001
10,0,person_010,1,1,0,1.21,6.56,0.975,normal,normal,0.0
10,1,person_010,0,0,0,-0.34,4.21,0.976,normal,normal,0.033
10,2,person_010,0,1,0,1.94,7.56,0.985,normal,normal,0.066
10,3,person_010,0,0,0,1.41,4.22,0.996,normal,normal,0.099
10,4,person_010,0,0,0,-2.01,-5.55,0.988,normal,normal,0.132
10,5,person_010,0,0,0,-0.4,-0.93,0.997,normal,normal,0.165
10,6,person_010,0,0,0,0.31,0.65,0.983,normal,normal,0.198
10,7,person_010,0,0,0,-1.05,3.31,0.985,normal,normal,0.231
10,8,person_010,0,0,0,0.14,1.1,0.998,normal,normal,0.264
10,9,person_010,0,0,0,-0.08,0.44,0.97,normal,normal,0.29700000000000004
10,10,person_010,0,0,0,3.2,3.9,0.962,normal,normal,0.33
10,11,person_010,0,0,0,1.07,2.32,0.982,normal,normal,0.363
10,12,person_010,0,0,0,-0.03,0.63,0.983,normal,normal,0.396
10,13,person_010,0,1,0,-1.31,4.7,0.992,normal,normal,0.42900000000000005
10,14,person_010,0,0,0,0.61,6.47,0.99,normal,normal,0.462
10,15,person_010,0,0,0,-1.37,-3.13,0.978,normal,normal,0.495
10,16,person_010,0,0,0,-1.56,-8.27,0.988,normal,normal,0.528
10,17,person_010,0,0,0,0.01,3.4,0.985,normal,normal,0.561
10,18,person_010,1,0,0,1.64,-0.99,0.996,normal,normal,0.5940000000000001
10,19,person_010,0,0,0,-0.68,0.15,0.986,normal,normal,0.627
10,20,person_010,0,0,0,2.08,3.39,0.988,normal,normal,0.66
10,21,person_010,0,0,0,1.78,4.92,0.987,normal,normal,0.6930000000000001
10,22,person_010,0,0,0,-3.35,4.28,0.991,normal,normal,0.726
10,23,person_010,0,1,0,-2.25,2.96,0.973,normal,normal,0.759
10,24,person_010,0,0,0,-0.41,2.91,0.963,normal,normal,0.792
10,25,person_010,0,0,0,-1.63,4.89,0.994,normal,normal,0.8250000000000001
10,26,person_010,0,0,0,-2.24,2.69,0.972,normal,normal,0.8580000000000001
10,27,person_010,1,1,0,-2.32,-1.04,0.985,normal,normal,0.891
10,28,person_010,0,0,0,0.75,-0.99,0.993,normal,normal,0.924
10,29,person_010,0,0,0,0.79,-4.19,0.999,normal,normal,0.9570000000000001
11,0,person_011,0,0,0,3.32,-2.29,0.988,normal,normal,0.0
11,1,person_011,0,0,0,1.65,1.99,0.975,normal,normal,0.033
11,2,person_011,0,1,0,0.35,-0.12,0.982,normal,normal,0.066
11,3,person_011,0,0,0,-1.05,3.16,0.984,normal,normal,0.099
11,4,person_011,0,0,0,-0.34,-1.67,0.952,normal,normal,0.132
11,5,person_011,0,0,0,1.14,-0.27,0.99,normal,normal,0.165
11,6,person_011,0,1,0,-1.85,-1.93,0.984,normal,normal,0.198
11,7,person_011,0,0,0,-2.31,1.05,0.999,normal,normal,0.231
11,8,person_011,0,0,0,-1.72,-2.52,0.996,normal,normal,0.264
11,9,person_011,0,0,0,1.09,0.74,0.986,normal,normal,0.29700000000000004
11,10,person_011,0,0,0,-0.83,0.52,0.979,normal,normal,0.33
11,11,person_011,0,0,0,-4.34,1.68,0.982,normal,normal,0.363
11,12,person_011,0,0,0,-0.44,7.71,1.0,normal,normal,0.396
11,13,person_011,0,0,0,-1.15,0.05,0.984,normal,normal,0.42900000000000005
11,14,person_011,0,0,0,-0.17,5.7,0.994,normal,normal,0.462
11,15,person_011,0,0,0,-0.4,0.69,0.969,normal,normal,0.495
11,16,person_011,0,0,0,1.12,-0.07,0.996,normal,normal,0.528
11,17,person_011,0,0,0,4.81,-1.51,0.977,normal,normal,0.561
11,18,person_011,0,0,0,1.6,-5.49,0.982,normal,normal,0.5940000000000001
11,19,person_011,0,0,0,-0.46,-3.21,0.974,normal,normal,0.627
11,20,person_011,0,0,0,0.54,-3.93,0.987,normal,normal,0.66
11,21,person_011,0,0,0,1.6,-2.35,0.992,normal,normal,0.6930000000000001
11,22,person_011,0,0,0,-0.86,0.78,0.959,normal,normal,0.726
11,23,person_011,0,0,0,-1.75,0.32,0.972,normal,normal,0.759
11,24,person_011,0,0,0,-2.01,1.6,0.996,normal,normal,0.792
11,25,person_011,0,1,0,0.78,4.64,0.948,normal,normal,0.8250000000000001
11,26,person_011,0,0,0,0.51,0.16,0.993,normal,normal,0.8580000000000001
11,27,person_011,0,0,0,-0.26,-3.47,0.977,normal,normal,0.891
